iterate,power,delta,band
217,0.5,0.25,0.21000000000000002
218,0.5,0.25,0.22
219,0.5,0.25,0.23
220,0.5,0.25,0.24000000000000002
221,0.5,0.25,0.25
222,0.5,0.25,0.26
223,0.5,0.25,0.27
224,0.5,0.25,0.28
225,0.5,0.25,0.29000000000000004
247,0.5,0.30000000000000004,0.1
248,0.5,0.30000000000000004,0.11
249,0.5,0.30000000000000004,0.12000000000000001
250,0.5,0.30000000000000004,0.13
251,0.5,0.30000000000000004,0.14
252,0.5,0.30000000000000004,0.15000000000000002
253,0.5,0.30000000000000004,0.16
254,0.5,0.30000000000000004,0.17
255,0.5,0.30000000000000004,0.18
256,0.5,0.30000000000000004,0.19
257,0.5,0.30000000000000004,0.2
258,0.5,0.30000000000000004,0.21000000000000002
259,0.5,0.30000000000000004,0.22
260,0.5,0.30000000000000004,0.23
261,0.5,0.30000000000000004,0.24000000000000002
262,0.5,0.30000000000000004,0.25
263,0.5,0.30000000000000004,0.26
264,0.5,0.30000000000000004,0.27
265,0.5,0.30000000000000004,0.28
266,0.5,0.30000000000000004,0.29000000000000004
267,0.5,0.30000000000000004,0.30000000000000004
268,0.5,0.30000000000000004,0.31
269,0.5,0.30000000000000004,0.32
270,0.5,0.30000000000000004,0.33
271,0.5,0.30000000000000004,0.33999999999999997
272,0.5,0.30000000000000004,0.35
288,0.5,0.35000000000000003,0.1
289,0.5,0.35000000000000003,0.11
290,0.5,0.35000000000000003,0.12000000000000001
291,0.5,0.35000000000000003,0.13
292,0.5,0.35000000000000003,0.14
293,0.5,0.35000000000000003,0.15000000000000002
294,0.5,0.35000000000000003,0.16
295,0.5,0.35000000000000003,0.17
296,0.5,0.35000000000000003,0.18
297,0.5,0.35000000000000003,0.19
298,0.5,0.35000000000000003,0.2
299,0.5,0.35000000000000003,0.21000000000000002
300,0.5,0.35000000000000003,0.22
301,0.5,0.35000000000000003,0.23
302,0.5,0.35000000000000003,0.24000000000000002
303,0.5,0.35000000000000003,0.25
304,0.5,0.35000000000000003,0.26
305,0.5,0.35000000000000003,0.27
306,0.5,0.35000000000000003,0.28
307,0.5,0.35000000000000003,0.29000000000000004
308,0.5,0.35000000000000003,0.30000000000000004
309,0.5,0.35000000000000003,0.31
310,0.5,0.35000000000000003,0.32
311,0.5,0.35000000000000003,0.33
312,0.5,0.35000000000000003,0.33999999999999997
314,0.5,0.35000000000000003,0.36
316,0.5,0.35000000000000003,0.38
317,0.5,0.35000000000000003,0.39
318,0.5,0.35000000000000003,0.4
319,0.5,0.35000000000000003,0.41000000000000003
329,0.5,0.4,0.1
330,0.5,0.4,0.11
331,0.5,0.4,0.12000000000000001
332,0.5,0.4,0.13
333,0.5,0.4,0.14
334,0.5,0.4,0.15000000000000002
335,0.5,0.4,0.16
336,0.5,0.4,0.17
337,0.5,0.4,0.18
338,0.5,0.4,0.19
339,0.5,0.4,0.2
340,0.5,0.4,0.21000000000000002
341,0.5,0.4,0.22
342,0.5,0.4,0.23
343,0.5,0.4,0.24000000000000002
344,0.5,0.4,0.25
345,0.5,0.4,0.26
346,0.5,0.4,0.27
347,0.5,0.4,0.28
348,0.5,0.4,0.29000000000000004
349,0.5,0.4,0.30000000000000004
350,0.5,0.4,0.31
351,0.5,0.4,0.32
352,0.5,0.4,0.33
353,0.5,0.4,0.33999999999999997
354,0.5,0.4,0.35
355,0.5,0.4,0.36
356,0.5,0.4,0.37
357,0.5,0.4,0.38
358,0.5,0.4,0.39
359,0.5,0.4,0.4
360,0.5,0.4,0.41000000000000003
361,0.5,0.4,0.42000000000000004
362,0.5,0.4,0.43000000000000005
363,0.5,0.4,0.44000000000000006
364,0.5,0.4,0.45000000000000007
365,0.5,0.4,0.45999999999999996
370,0.5,0.45,0.1
371,0.5,0.45,0.11
372,0.5,0.45,0.12000000000000001
373,0.5,0.45,0.13
374,0.5,0.45,0.14
375,0.5,0.45,0.15000000000000002
376,0.5,0.45,0.16
377,0.5,0.45,0.17
378,0.5,0.45,0.18
379,0.5,0.45,0.19
380,0.5,0.45,0.2
381,0.5,0.45,0.21000000000000002
382,0.5,0.45,0.22
383,0.5,0.45,0.23
384,0.5,0.45,0.24000000000000002
385,0.5,0.45,0.25
386,0.5,0.45,0.26
387,0.5,0.45,0.27
388,0.5,0.45,0.28
389,0.5,0.45,0.29000000000000004
390,0.5,0.45,0.30000000000000004
391,0.5,0.45,0.31
392,0.5,0.45,0.32
393,0.5,0.45,0.33
394,0.5,0.45,0.33999999999999997
395,0.5,0.45,0.35
396,0.5,0.45,0.36
397,0.5,0.45,0.37
398,0.5,0.45,0.38
399,0.5,0.45,0.39
400,0.5,0.45,0.4
401,0.5,0.45,0.41000000000000003
402,0.5,0.45,0.42000000000000004
403,0.5,0.45,0.43000000000000005
404,0.5,0.45,0.44000000000000006
406,0.5,0.45,0.45999999999999996
407,0.5,0.45,0.47
408,0.5,0.45,0.48
409,0.5,0.45,0.49
410,0.5,0.45,0.5
411,0.5,0.5,0.1
412,0.5,0.5,0.11
413,0.5,0.5,0.12000000000000001
414,0.5,0.5,0.13
415,0.5,0.5,0.14
416,0.5,0.5,0.15000000000000002
417,0.5,0.5,0.16
418,0.5,0.5,0.17
419,0.5,0.5,0.18
420,0.5,0.5,0.19
421,0.5,0.5,0.2
422,0.5,0.5,0.21000000000000002
423,0.5,0.5,0.22
424,0.5,0.5,0.23
